竞品,外链网站,外链页面,DR,类型,是否有Submit,Submit地址,免费/收费,我们能否复制
DeeVid AI,https://zapier.com/,https://zapier.com/blog/best-ai-video-generator/,91,blog,无,,,
DeeVid AI,https://topai.tools/,https://topai.tools/s/kiara-advani-deepfake,65,Best AI tools,yes,https://topai.tools/submit,收费,maybe，如果付费的话
DeeVid AI,https://www.aixploria.com/,https://www.aixploria.com/en/ultimate-list-ai/,58,Best AI tools,yes,https://www.aixploria.com/en/featured-on-aixploria/#submit,收费,maybe，如果付费的话
DeeVid AI,https://aitools.aiting.com/,https://aitools.aiting.com/ai/deevid,38,Best AI tools,NO,,,
Magic Hour,https://www.rundown.ai/,https://www.rundown.ai/tools/magic-hour,50,Best AI tools,NO,,,
Magic Hour,https://aitools.aiting.com/,https://aitools.aiting.com/ai/magic-hour,38,Best AI tools,,,,
Magic Hour,https://www.ycombinator.com/,https://www.ycombinator.com/companies/magic-hour,91,Startup公司官网,NO,,,
Magic Hour,https://www.producthunt.com/,https://www.producthunt.com/products/magic-hour-2,91,Product launch,YES,https://www.producthunt.com/posts/new?ref=header,免费,能
Magic Hour,https://www.eesel.ai/,https://www.eesel.ai/blog/magic-hour-ai,73,Review,NO,,,
LEONARDO.AI,https://en.softonic.com/,https://leonardo-ai.en.softonic.com/web-apps,86,Product launch,YES,https://publishing-center.softonic.com/home?utm_campaign=navbar&utm_source=softonic&utm_medium=homepage,免费,能
LEONARDO.AI,https://saitebi.info/,https://leonardo.ai/,29,Product Launch,YES,https://saitebi.info/add.html,免费,能
LEONARDO.AI,https://en.uptodown.com/,https://leonardo-ai.en.uptodown.com/android,83,APP Launch,YES,https://en.uptodown.com/developers-console,免费,"Maybe,如果做成可上架的应用的话"
A2E,https://creati.ai/de/,https://creati.ai/de/ai-tools/spicychat-ai/,51,Product Launch,YES,https://creati.ai/de/submit-ai/submit-your-ai/,收费,maybe，如果付费的话
A2E,https://topai.tools/,https://topai.tools/alternatives/popvid-ai,65,Product Launch,YES,https://topai.tools/submit,收费,maybe，如果付费的话
A2E,https://topaitools.net/,https://topaitools.net/product/a2e-free-uncensored-ai-videos,26,Product Launch,YES,https://topaitools.net/submit,收费,maybe，如果付费的话
A2E,https://aiextension.ai/,https://aiextension.ai/item/a2e-free-and-uncensored-ai-videos,49,Product Launch,YES,https://aiextension.ai/submit,收费,maybe，如果付费的话
A2E,https://toolspedia.io/,https://toolspedia.io/ai-tool/a2e/,18,Product Launch,YES,https://toolspedia.io/submit-tool/,收费,maybe，如果付费的话
A2E,https://www.toolify.ai/,https://www.toolify.ai/search/Denude%20free?r=search-handle,73,Product Launch,YES,https://www.toolify.ai/submit,收费,maybe，如果付费的话
