产品名,网址,给谁用,输入,输出,价格,解决什么问题,为什么值得继续看,AITDK月访问量,Top Keywords,Top Regions,status,reason,source_url,candidate_url,domain,final_url,http_status,html_fetcher,page_title,meta_description,pricing_url,ai_video_fit,ai_video_evidence,video_category,reference_to_video_fit,reference_to_video_evidence,llm_provider,llm_model,llm_calls,failed_step,error_code,error,retry_count,timestamp
Captions,https://captions.ai/,unavailable; needs LLM/manual review,unavailable; needs LLM/manual review,unavailable; needs LLM/manual review,pricing page found; needs manual extraction,unavailable; needs LLM/manual review,unavailable; needs LLM/manual review,unavailable,unavailable,unavailable,review,migrated before ai_video_fit existed,https://www.captions.ai/,https://www.captions.ai/,captions.ai,https://captions.ai/,200,,Captions: AI That Edits Like a Professional Editor,"Captions is an AI video generator and editor that makes it easy to go from idea to ready-to-share content. Get great videos every time, no matter your skillset.",https://captions.ai/pricing,,,,,,none,,0,,,,,2026-08-26T16:18:02+08:00
Rask AI,https://www.rask.ai/,unavailable; needs LLM/manual review,unavailable; needs LLM/manual review,unavailable; needs LLM/manual review,pricing page found; needs manual extraction,unavailable; needs LLM/manual review,unavailable; needs LLM/manual review,unavailable,unavailable,unavailable,review,migrated before ai_video_fit existed,https://www.rask.ai/,https://www.rask.ai/,rask.ai,https://www.rask.ai/,200,,Leading AI video localization & dubbing tool,Say goodbye to expensive translators. Our goal is to provide a dubbing and translation experience with AI that is as good as a human,https://www.rask.ai/pricing,,,,,,none,,0,,,,,2026-08-26T16:18:04+08:00
TopView AI,https://www.topview.ai/,营销团队、代理机构、电影或创意工作室,脚本、参考视频、产品URL、故事创意,短片、营销视频、广告、微短剧,pricing page found; needs manual extraction,自动化视频创作流程，从脚本或参考生成多镜头视频，保持角色和视觉一致性,支持参考视频和产品URL输入，具备视频克隆功能，可复制参考视频节奏，适合视频二创控制研究,unavailable,unavailable,unavailable,pending,accepted: migrated reference_to_video_fit=YES,https://www.topview.ai/,https://www.topview.ai/,topview.ai,https://www.topview.ai/,200,,AI Video Agent for Short Films & Marketing Videos | Topview,"Create short films, marketing videos, and ads from scripts, references, or product URLs. Topview's AI Video Agent plans and creates every scene on one canvas.",https://www.topview.ai/pricing,,,Reference-to-Video / 视频二创控制; 视频广告克隆 / Video Ad Cloner; 数字人 / Avatar Video,YES,"Describe your idea or add a script, reference video, or product URL; Video Clone remake a viral video for your product. clone the pacing of a reference video.",deepseek,deepseek-v4-flash,1,,,,,2026-08-26T17:09:53+08:00
Revid AI,https://www.revid.ai/,短视频创作者、独立艺术家、内容创作者,文本、脚本、URL、产品页面、音频、PDF、Spotify链接、WAV文件,可编辑的短视频、短电影、音乐视频、AI生成视频,pricing page found; needs manual extraction,帮助创作者快速生成、编辑和发布短视频，自动化内容创作流程，提升视频的病毒式传播潜力,Revid AI提供从脚本生成到视频渲染、发布的一体化工具，支持多种输入格式，并具备AI趋势分析和自动化功能，适合短视频创作者提升效率,unavailable,unavailable,unavailable,skipped,reference_to_video_fit=NO,https://www.revid.ai/,https://www.revid.ai/,revid.ai,https://www.revid.ai/,200,,"Revid AI — Create, Edit & Publish AI Videos | 100+ Tools","Turn prompts, scripts, URLs, product pages, audio, and PDFs into editable videos. Generate, edit, publish, and automate short-form content with Revid.",https://www.revid.ai/pricing,,,文生视频 / Text-to-Video; 图生视频 / Image-to-Video; AI视频编辑 / AI Video Editing,NO,unavailable,deepseek,deepseek-v4-flash,1,,,,,2026-08-26T17:09:58+08:00
Klap,https://klap.app/,内容创作者、社交媒体运营者、播客主、教育者等,长视频（YouTube链接或视频文件）,多个竖屏短视频片段，带AI字幕、智能重构图、病毒式评分,pricing page found; needs manual extraction,自动将长视频转换为适合TikTok、Reels、Shorts的短视频，节省编辑时间，提升内容分发效率,AI自动剪辑、智能重构图、字幕生成和发布调度一体化，支持52种语言，适合多平台内容分发,unavailable,unavailable,unavailable,skipped,reference_to_video_fit=NO,https://klap.app/,https://klap.app/,klap.app,https://klap.app/,200,,"Klap | Turn videos into viral TikToks, Reels & Shorts","Klap turns long videos, podcasts and webinars into ready-to-post TikToks, Reels and YouTube Shorts in one click — with AI captions, smart reframing and viral-score insights.",https://klap.app/pricing,,,长视频转短视频 / Long-to-Short Video;AI视频编辑 / AI Video Editing,NO,unavailable,deepseek,deepseek-v4-flash,1,,,,,2026-08-26T17:10:02+08:00
Munch,https://www.munchstudio.com/,企业、营销机构、社交媒体经理,企业网站、视频、照片、Zoom通话录音,社交媒体帖子、内容策略、发布计划、表现分析,pricing page found; needs manual extraction,自动化社交媒体营销，节省时间、金钱和精力，提高内容发布效率和跨平台表现,AI驱动的社交媒体内容生成和发布平台，支持多品牌管理，适合营销机构，但核心是社交媒体管理而非视频生成,unavailable,unavailable,unavailable,skipped,reference_to_video_fit=NO,https://www.getmunch.com/,https://www.getmunch.com/,munchstudio.com,https://www.munchstudio.com/,200,,Munch Studio - Social Media For Businesses,"Munch studio creates done-for-you social media content that’s on-brand, on-time, and hands-free. Try the AI-powered way today.",https://www.munchstudio.com/pricing,,,其他,NO,unavailable,deepseek,deepseek-v4-flash,1,,,,,2026-08-26T17:10:06+08:00
JoggAI,https://www.jogg.ai/,内容创作者、品牌方、广告主,用户输入想法或选择头像,AI头像视频,pricing page found; needs manual extraction,简化视频制作流程，无需拍摄和剪辑，快速生成高质量AI头像视频,产品定位为AI头像视频生成器，拥有450+超逼真头像，用户量大，可能支持视频二创控制,unavailable,unavailable,unavailable,skipped,reference_to_video_fit=NO,https://www.jogg.ai/,https://www.jogg.ai/,jogg.ai,https://www.jogg.ai/,200,urllib,JoggAI - AI Video Generator with Lifelike AI Avatars,Create your own avatar or choose from 450+ ultra-realistic AI avatars on JoggAI to generate engaging videos instantly.,https://www.jogg.ai/pricing/,,,数字人 / Avatar Video,NO,unavailable,deepseek,deepseek-v4-flash,1,,,,,2026-08-26T17:35:56+08:00
Pippit,https://www.pippit.ai/,创作者、营销人员、企业主、教育工作者、AI爱好者,文本提示、图片、链接、文件、媒体、参考视频、照片,视频、图片、广告、数字人视频、翻译视频、海报,pricing page found; needs manual extraction,简化并自动化内容创作流程，降低成本和提升效率，快速生成营销视频、社交媒体内容、广告、头像视频等,支持参考视频生成相似视频、视频翻译、图片转视频、数字人、AI Talking Photo等功能，覆盖多种视频创作场景，且提供免费试用,unavailable,unavailable,unavailable,pending,accepted: migrated reference_to_video_fit=YES,https://www.pippit.ai/,https://www.pippit.ai/,pippit.ai,https://www.pippit.ai/,200,urllib,Pippit AI: Free AI Video Generator | Your Smart Creative Agent,"Pippit AI is an AI-powered platform that enables you to create videos, images, ads, and avatars with ease. With Pippit AI, you can effortlessly publish, track performance, and scale content creation—all in one place.",https://www.pippit.ai/pricing?lang=en,,,Reference-to-Video / 视频二创控制; 数字人 / Avatar Video; 视频翻译 / Lip Sync and Localization,YES,"Reference Video: Reference a trending video's script, narrative structure, and visuals. New story, same vibe. 以及 'Based on this image, imitate the reference video to create a similar viral video for my social media channel.'",deepseek,deepseek-v4-flash,1,,,,,2026-08-26T17:36:01+08:00
Oxolo,https://www.oxolo.com/,建筑行业从业者（木工、油漆工、监理、工程师等）,现场语音记录、自定义模板上传,自动生成的报告、任务、协议，并通过WhatsApp或邮件发送,pricing page found; needs manual extraction,消除现场手写记录和夜间打字，自动填充模板，翻译并分发任务，提高文档处理效率,专注于建筑行业的AI语音助手，自动化文档生成和任务分发，具有行业垂直性和效率提升价值,unavailable,unavailable,unavailable,skipped,reference_to_video_fit=NO,https://www.oxolo.com/,https://www.oxolo.com/,oxolo.com,https://www.oxolo.com/,200,urllib,Oxolo | AI Construction Documentation & Voice Protocols,"Document your construction site by voice. Oxolo AI agent for construction auto-generates reports, tasks & protocols. Start free today.",https://www.oxolo.com/pricing,,,其他,NO,产品为建筑行业语音文档工具，不涉及视频生成或编辑,deepseek,deepseek-v4-flash,1,,,,,2026-08-26T17:36:05+08:00
VideoGen,https://videogen.io/,内容创作者、营销团队、销售团队、培训和教育团队,文本、脚本、幻灯片、故事板、图片,短视频或长视频,pricing page found; needs manual extraction,视频制作复杂、成本高、耗时长,提供AI视频生成和编辑功能，支持多种视频类型，并集成多种AI模型，可能支持视频二创控制,unavailable,unavailable,unavailable,skipped,reference_to_video_fit=NO,https://videogen.io/,https://videogen.io/,videogen.io,https://videogen.io/,200,urllib,VideoGen - Create and Edit Videos with AI in Minutes,"Instantly generate videos with VideoGen, the fastest and most powerful video creation experience. Ever. Create and edit videos in one click. Try it now for free.",https://videogen.io/pricing,,,文生视频 / Text-to-Video; 图生视频 / Image-to-Video; AI视频编辑 / AI Video Editing,NO,unavailable,deepseek,deepseek-v4-flash,1,,,,,2026-08-26T17:36:09+08:00
